htn_status,hh_size_cat,n,n_se,pred_prob
d,2,2882.719916,76.4990046434004,0.160822216621458
d,3-4,19475.846473,196.57206459831343,0.250346185773664
d,5,32093.208463,237.85607858757334,0.426017884971799
n,2,14817.500134,179.4749338021876,0.174315029227207
n,3-4,119240.831298,451.49202958111226,0.264228764700946
n,5,153523.113581,445.0921570871773,0.480552965920934
u,2,5197.67436,103.27680964026263,0.250143529922636
u,3-4,38709.935535,278.60724591255587,0.368537650132796
u,5,54210.622656,298.9798045761661,0.65925355979035
