htn_status,valid_size_cat,n,n_se,p,p_low,p_upp,response,SE,lower_CI,upper_CI,unweighted_n,wt_sum,total_wt_sum,percentage_wt_sum,nns,nns_lci,nns_uci
d,2,28924.840017,259.42629977584994,0.2120989739751693,0.2086352356357176,0.21560454997969267,0.13275172765958232,0.00283778857946233,0.12718966204383614,0.1383137932753285,29791,28924.840017,136374.25717300002,21.209897393103212,7.532858649977936,7.229936916048512,7.862274212627032
d,3-4,75453.263967,453.24142572543747,0.553280842576136,0.5486962433888839,0.5578563976493564,0.3357368185567043,0.00327792311742614,0.32931208924654903,0.34216154786685954,74802,75453.263967,136374.25717300002,55.32808429620438,2.9785234884243263,2.922596084318381,3.0366331290416766
d,5,31996.153189,335.6436249319449,0.2346201831249576,0.23048633170786373,0.23880516789306191,0.6382758591858058,0.00838194107630069,0.6218472546762563,0.6547044636953552,31813,31996.153189,136374.25717300002,23.462018310692397,1.5667206985951418,1.5274067238761282,1.6081119478779657
n,2,270669.274877,874.7368120098503,0.26407995374309534,0.2622938531254255,0.26587383343661974,0.14592574753174764,0.00104062037666199,0.14388613159349012,0.14796536347000516,278429,270669.274877,1024951.993063,26.407995370409797,6.852800255708402,6.7583384148055385,6.949940129221205
n,3-4,512268.365153,1386.9521756540055,0.4997974233135736,0.4974895517620906,0.5021053034969172,0.3904100705839838,0.00171119136277377,0.3870561355129472,0.3937640056550204,519325,512268.365153,1024951.993063,49.97974233135744,2.5614093368651543,2.5395922065972365,2.583604568558892
n,5,242014.353033,1370.429480113959,0.23612262299547393,0.233866154012894,0.23839408905177625,0.7003643951785415,0.00477288051923044,0.6910095493608499,0.7097192409962332,244116,242014.353033,1024951.993063,23.612262298232757,1.4278281518652491,1.4090078755597772,1.4471580037134815
u,2,54737.603718,350.92195410208865,0.2498334525676003,0.24694165238437177,0.2527477512364231,0.20826939882488096,0.00321430652897482,0.20196935802809027,0.2145694396216716,58776,54737.603718,219096.374662,24.98334525271982,4.801473503271738,4.660495929724186,4.951246118537042
u,3-4,114958.363932,533.8152029196717,0.5246931361081927,0.5211466985841532,0.5282370847376144,0.524056735549074,0.00403216539581033,0.5161536913732857,0.5319597797248622,119658,114958.363932,219096.374662,52.46931361112035,1.9081903392621458,1.8798413679267545,1.9374074364156655
u,5,49400.407012,404.0376704661064,0.2254734113708018,0.2223225600683305,0.2286557881928515,0.9795773655760492,0.0099292327801951,0.9601160693268668,0.9990386618252316,51176,49400.407012,219096.374662,22.547341136159837,1.0208484139605871,1.0009622632351505,1.0415407386120468
